text,label
ESTO HA SIDO EN MI PUTA CALLE. En serio dejaos de estupideces hay gente que ha MUERTO literalmente por el COVID-19. Basta ya de ser egoístas. https://t.co/lGznLZN6NR,1
"RT @funder: BREAKING: Stanford study estimates Trump rallies resulted in over 30,000 COVID-19 cases and “more than 700 deaths.” No words. V…",1
"@EricTrump No, it's COVID-19 spreading.",1
"RT @lemondefr: Le procès des attentats de janvier 2015 suspendu, le principal accusé testé positif au Covid-19 https://t.co/F80uU5gz6P",1
"Stanford study estimates 18 Trump rallies resulted in over 30,000 COVID-19 cases https://t.co/rIvWvmF3bI",1
RT @samsondenver: American Medical Association Rips Donald Trump for Claiming Doctors Profit From COVID-19 Deaths - Doctors are risking the…,1
"The Illinois Department of Public Health (IDPH) today reported a one-day record 6,943 new confirmed cases of coronavirus disease (COVID-19) in Illinois, including 36 additional deaths. https://t.co/Ol8qifAaGA",1
ESTO HA SIDO EN MI PUTA CALLE. En serio dejaos de estupideces hay gente que ha MUERTO literalmente por el COVID-19. Basta ya de ser egoístas. https://t.co/lGznLZN6NR,1
"RT @funder: BREAKING: Stanford study estimates Trump rallies resulted in over 30,000 COVID-19 cases and “more than 700 deaths.” No words. V…",1
"@EricTrump No, it's COVID-19 spreading.",1
"RT @lemondefr: Le procès des attentats de janvier 2015 suspendu, le principal accusé testé positif au Covid-19 https://t.co/F80uU5gz6P",1
"Stanford study estimates 18 Trump rallies resulted in over 30,000 COVID-19 cases https://t.co/rIvWvmF3bI",1
RT @samsondenver: American Medical Association Rips Donald Trump for Claiming Doctors Profit From COVID-19 Deaths - Doctors are risking the…,1
"The Illinois Department of Public Health (IDPH) today reported a one-day record 6,943 new confirmed cases of coronavirus disease (COVID-19) in Illinois, including 36 additional deaths. https://t.co/Ol8qifAaGA",1
RT @Tinashe: Covid- free for Halloween 💯 https://t.co/r3TrVIhYeM,1
"やっぱり、ロックダウンかぁ。

Covid-19: PM announces four-week England lockdown https://t.co/UDaES39n6e",1
RT @samsondenver: American Medical Association Rips Donald Trump for Claiming Doctors Profit From COVID-19 Deaths - Doctors are risking the…,1
"Con un  #PactoComunitario y el compromiso de todas y todos #EnPueblaSíPodemos.
 Trabajemos en conjunto para detener al COVID-19.
¡#UsaCubrebocas! 
Infórmate💻https://t.co/j5cKFrXXAP https://t.co/MR4EeqVQuZ",1
#31Oct Venezuela alcanzó los 91.589 Casos con 309 contagios de Covid-19 #NucleoNoticias https://t.co/gp8HStfp6K,1
"Editorial: Democracy has proven stronger than COVID-19, and it appears as if the collective will of voters to have their say in 2020 will lead to a turnout that may be considered historic. https://t.co/4caEF0pxc1",1
"Secretário de Educação do DF reage bem a tratamento contra embolia pulmonar

Com Covid-19, Leandro Cruz segue internado no Hospital Santa Luzia e tem quadro estável, segundo informou boletim médico deste sábado
https://t.co/9XQYwRVY41",1
"@gobdecordoba @minsaludcba Datos enfocados en evolución camas UTI COVID-19, últimos 14 días y casos positivos reportados, total provincia y detalle de Cba Capital.

Resto de los gráficos en https://t.co/leyUMe9A7r https://t.co/NGVHoMrDZM",1
"Between Republicans rewriting rules and COVID-19, there’s a real potential for historic levels of voter suppression. @natthedem and Himani take a look at some states where voter suppression efforts are already at work. https://t.co/Kwz1TTGLvY https://t.co/NyCHNe4dKv",1
"Internado desde el 31 de marzo, Nick Cordero despertó del coma tras sus complicaciones por COVID-19. En la nota de @Notimex replicada por Excélsior te contamos su estado tras una amputación, un marcapasos, hongos en los pulmones y una infección séptica 
https://t.co/LDOSOEL6XH",1
"RT @funder: BREAKING: Stanford study estimates Trump rallies resulted in over 30,000 COVID-19 cases and “more than 700 deaths.” No words. V…",1
"YAMARANGUILA CUENTA CON CENTRO DE TRIAJE

Hasta el municipio de Yamaranquila, en el departamento de Intibucá, cuenta ya con su Centro de Triaje para la detección temprana del Covid-19, gracias al Proyecto Fuerza Honduras, que apoya fuertemente la SEDECOAS. 
#HondurasConHechos https://t.co/gJ6rk5mt8h",1
"Terima kasih kepada rakyat Malaysia yang sentiasa mematuhi SOP.

Teruskan bersemangat melawan COVID-19.
Kita teguh, kita pasti MENANG lagi 💪

#JaPenSabah #KitaJagaKita #KekalSelamat https://t.co/euc4Iln9FV",1
"With only two players unable to play because of COVID-19, FAU football cruised to a home win https://t.co/6PWLdnGtl3",1
"RT @jljcolorado: Mi video de 5 min., donde explico brevemente qué es la transmisión de la COVID-19 por el aire (aerosoles) y cómo protegern…",1
"#México |  Covid-19, cerca de superar a diabetes en mortandad https://t.co/B2kZF5Tu5w  #LaInformacionQueNosUne https://t.co/aY9scoiWHb",1
"RT @funder: BREAKING: Stanford study estimates Trump rallies resulted in over 30,000 COVID-19 cases and “more than 700 deaths.” No words. V…",1
"RT @JmeBBK: Is there any country where the citizens are happy with the way their government are handling the COVID-19 situation?
Or are we…",1
RT @laSextaTV: Varios estudios afirman que algunos bebés recién nacidos cuyas madres tengan la COVID-19 pueden portar anticuerpos sin padec…,1
